-17.4,14.7
-6.8,17
-9.2,34.3
6.1,2
8,64.5
12.7,64
15.9,45.7
14.3,47.8
11.1,19.1
5.6,50.5
-0.6,0
-3.5,0
-8.7,8.4
-10.8,42.2
-5.5,15.2
7.4,12.4
11.2,18.3
14.2,141.2
16.7,32
15.3,32.5
11.6,79
7.5,19.3
-6.1,38.9
-9.7,7.9
-12.5,66
-11.1,20.6
-3.6,8.9
-0.3,14.7
10,42.4
13.4,51.3
16.4,17.3
16.8,9.9
9.5,28.4
4.6,26.4
-14.4,31.2
-14.9,19.3
-11.7,33
-15.6,20.1
-3.7,5.3
3.9,0.3
11.2,40.4
13.3,27.7
16,28.2
15.3,22.4
10.6,31.5
3.3,8.4
-9.6,36.1
-17.5,51.1
-14,62.5
-16.3,63.2
-6.8,20.3
3.4,20.1
10,23.4
12.9,26.2
15.7,96.8
12.3,51.3
9.9,33
4.9,18.5
-4.7,19.6
-8.8,48.5
-7.8,13.5
-17.1,61.7
-10.8,38.9
-5,53.1
12,30.7
16.3,72.4
15.8,124
14.1,67.6
10.3,49
4.9,11.4
-4.9,16
-18,25.4
-16.2,32
-20.6,42.2
-6.5,15.5
5.7,23.6
9.4,32.8
12.1,24.1
15.2,36.1
14.7,52.8
11.1,9.4
3,23.1
2.3,30.5
-17.6,74.9
-30.2,16.8
-14.6,19.8
-9.9,7.6
-0.5,29.5
9.3,47.2
16.2,20.6
15.8,82.6
12.7,52.8
11.6,24.1
2.1,14.7
-13.9,67.1
-13.4,36.6
-20.1,29.2
-15.5,33.8
-12.9,18
2.1,18.5
10,48.5
12.2,30.2
15.2,152.7
13.6,47
9.1,19.3
-0.5,67.6
-6.1,20.1
-16.1,42.2
-21.3,68.1
-11.5,25.7
-7.9,24.4
4.1,14.2
11,26.4
12.9,53.1
15.5,50.3
14,77.2
10.9,31
6.8,8.1
-1.3,2
-11.1,13.2
-22.4,75.4
-6.4,10.2
-6.4,26.7
-0.1,16.5
11.1,68.3
12.9,96
15.3,69.3
15.3,29
10,34.5
6.2,9.1
-3.4,21.6
-7.2,24.4
-25.9,22.6
-8.6,55.1
-9.3,31
-6.1,19.8
8.9,52.1
12.5,51.3
15.1,65.8
14.3,89.4
9.4,39.4
4.3,16
-0.5,5.6
-8.5,32.3
-9.6,5.6
-12.8,13.7
-11.3,29.5
2.5,26.4
8.3,62.5
14.5,8.6
15.8,152.7
14.3,4.8
8.6,36.6
2.8,45
-17.6,33.3
-20.3,47.2
-23.2,39.6
-15.2,22.4
-6.9,27.9
2.1,8.9
12,6.6
13.3,117.1
16.3,50.5
15.8,56.9
9.2,25.7
1.3,20.8
0.2,23.1
-11.8,51.3
-16.7,20.6
-14.7,32.5
-7.1,11.2
3.9,13.7
10.4,25.9
13.5,61.5
14.6,84.8
13.7,120.7
12.8,15.2
-0.2,91.2
-1.4,53.8
-11.6,51.6
-10,14.2
-15.5,28.4
-7.3,21.8
4.1,4.3
12.3,19.1
14.9,113.5
17.7,6.6
16.3,61.2
9.4,70.6
5.4,46.2
-6.2,19.3
-12.6,44.5
-23.7,66.5
-12.4,11.9
-1.6,7.4
3.3,31.2
8.7,31.8
12.9,25.4
17,25.1
12.6,48.3
9.5,14
2,50
-6.5,31
-3.7,2
-12.4,19.1
-10.3,23.6
-8.7,29.2
5.5,1.3
8.2,75.7
12.7,153.9
18,15.5
15.2,49.8
10.8,11.2
5.6,19.6
-6.1,15.5
-7.7,23.6
-11.7,10.4
-11.6,40.4
-5.2,15.7
3.1,18
10.3,31.5
16.2,132.1
16.8,68.6
17.3,25.1
8,52.3
2.9,28.7
-7.2,30.5
-19.5,29.7
-13.8,54.9
-16.4,13
-9.5,13.2
5,46.2
9,42.7
13.8,39.4
15.6,100.8
14.8,70.1
10.4,14.2
5.5,22.1
-3.4,45
-11.4,49.5
-14.5,50.3
-10,44.7
-5.5,28.2
1.9,32.5
9.3,14
14.1,3.6
16.5,35.8
16.2,39.1
13.1,32.8
6.2,26.2
-9.9,51.1
-11.4,14.7
-12.3,23.1
-2,18.5
-11.8,35.1
2.4,13.5
9.4,58.4
14,160.5
15.5,144.8
13.7,103.4
7.7,45.7
6.2,19.3
-7.2,40.9
-22.5,16
-16.5,49.5
-16.5,39.6
-9.5,5.3
1.6,31
9.1,36.8
13.6,110.2
16.9,75.4
16.9,58.2
6.6,26.2
5.8,16.8
-11.5,46.5
-13.4,15
-25.4,43.9
-12.4,28.7
-6.3,27.4
-0.8,42.9
10.7,48.3
12.2,28.4
15.1,54.4
14.3,99.1
11.3,27.2
3.7,13.7
-12.1,43.7
-13.1,27.2
-17.4,34.5
-10.9,12.4
-11.7,26.2
0,17.8
9.4,7.6
14,23.6
16.3,17.8
17.7,27.7
13.5,16
4.4,29.2
-4,34
-12.9,32.5
