-7.9,113.3
-8.5,65
-0.4,4.6
2.1,113.3
9.4,60.7
14.9,30.7
17.6,41.7
18,109.5
15.9,73.4
9.9,109
2.4,108.7
-4.6,146.6
-7.8,104.1
-4.7,65.3
-2,33
1.1,86.1
9.4,147.6
13.2,126.2
21.5,63.5
18.7,32
14.5,128.8
9.8,27.9
3.3,114.8
-4.8,86.9
-7.6,70.9
-11.2,40.1
-6.4,61.7
1.5,88.4
8.8,96.3
13.1,81.8
18.5,88.4
18.5,80.8
14.4,88.1
9.3,75.4
4.6,142.7
-2.1,80.5
-5.4,63.8
-7.2,105.7
-2.2,144
3.6,108
9,73.4
15.2,50.3
19.2,52.6
18.3,126.2
14.3,110.7
9.7,54.6
2,113
-1.4,74.7
-6.6,83.1
-10.9,67.6
-5.2,36.6
2.6,96.3
10,22.1
14.8,57.9
18,99.8
17.5,169.4
11.6,22.9
7.8,62.7
5.3,111
-0.1,124
-4.8,79.5
-3.9,69.6
-1,101.3
5.5,94.5
9,126.7
13.3,97.5
18.9,124.5
17.9,190.2
14.8,59.7
8.8,46.5
3.1,152.1
-4.5,124.5
-6.3,147.3
-5.2,149.1
-2.8,84.3
3.5,63.2
7.9,79
14.4,123.7
20.2,60.5
19.4,95
14.7,40.6
8,84.8
2.2,68.1
-2.7,59.9
-4.1,103.4
-4.1,122.4
-1.6,84.6
4.9,72.6
7.7,82
14.5,39.1
18.6,87.6
17,135.9
14.9,82.3
8.3,131.6
5,70.4
-0.5,146.8
-7.7,200.2
-3.2,160
-2.5,93.5
2.2,54.9
8.3,89.4
14.9,50.3
18.1,133.1
16.6,61.7
13.4,74.4
8.8,104.4
3.2,105.2
-0.5,154.4
-4.3,153.7
-5.7,76.5
-3.3,102.1
2.1,89.9
8.6,78
14.2,59.7
18.4,79.8
18.5,126.5
13.2,97.3
8.2,72.1
2.1,92.7
-7.1,69.1
-2.2,230.4
-7.2,94
-5.5,108.7
1.6,93.2
6.6,94.7
14.2,87.4
16.8,74.2
16.6,42.9
12.8,61.2
8.9,29.7
3.4,121.9
-4.2,102.4
-11.6,142.7
-6.9,100.6
-2.6,79
1.8,127.5
8.1,98.3
14.5,35.6
17.7,59.4
17.2,65.3
14.5,83.3
9,68.1
4.2,208.8
0.1,111.8
-2.6,112.5
-5.5,109.5
-0.6,47.8
4.9,78.2
9.4,48.3
13.1,68.1
17.7,104.4
18.1,126.5
13.2,155.4
7.6,91.2
2.2,138.4
-9.4,114
-7.5,40.6
-10.1,60.2
-3.6,97.3
3.5,38.9
9.2,55.6
12.9,106.9
19.8,61.7
17.3,71.9
14.3,62.2
7.9,180.3
3.8,176.3
-2.3,96.5
-6.7,101.6
-2.9,82.6
-3.1,98.3
2.4,34
11.6,40.4
15.6,107.2
18.3,52.6
18.7,23.6
14.2,90.9
6.6,75.4
3.4,58.4
-3.9,84.1
-11.1,107.2
-10,92.2
-5.8,89.7
0.8,63.8
8.8,102.6
15.6,111.8
17.8,29.5
18.7,35.3
16.3,73.7
10,131.3
4.8,103.6
-1.9,110.7
-7.8,54.4
